openalex_id,doi,title,publication_year,venue,is_oa,oa_status,license,landing_page_url,pdf_url,candidate_score,query,relevance_note
https://openalex.org/W3095990770,https://doi.org/10.1002/1873-3468.13988,Engineering protein fragments via evolutionary and protein–protein interaction algorithms: <i>de novo</i> design of peptide inhibitors for F<sub>O</sub>F<sub>1</sub>‐ATP synthase,2020,FEBS Letters,True,bronze,,https://doi.org/10.1002/1873-3468.13988,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/1873-3468.13988,5,de novo protein design enzyme engineering,Candidate for Sci-Evo extraction if paper contains explicit design/experiment/optimization loop.
https://openalex.org/W4401135618,https://doi.org/10.1038/s41467-024-50698-y,Machine learning-guided co-optimization of fitness and diversity facilitates combinatorial library design in enzyme engineering,2024,Nature Communications,True,gold,cc-by,https://doi.org/10.1038/s41467-024-50698-y,https://www.nature.com/articles/s41467-024-50698-y.pdf,4,directed evolution enzyme design,Candidate for Sci-Evo extraction if paper contains explicit design/experiment/optimization loop.
https://openalex.org/W4312112945,https://doi.org/10.1093/bib/bbac570,Protein engineering via Bayesian optimization-guided evolutionary algorithm and robotic experiments,2022,Briefings in Bioinformatics,True,bronze,,https://doi.org/10.1093/bib/bbac570,https://academic.oup.com/bib/article-pdf/24/1/bbac570/48782188/bbac570.pdf,4,directed evolution enzyme design,Candidate for Sci-Evo extraction if paper contains explicit design/experiment/optimization loop.
https://openalex.org/W4413915180,https://doi.org/10.3390/catal15090842,Breaking Evolution’s Ceiling: AI-Powered Protein Engineering,2025,Catalysts,True,gold,cc-by,https://doi.org/10.3390/catal15090842,https://www.mdpi.com/2073-4344/15/9/842/pdf?version=1756803084,3,de novo protein design enzyme engineering,Candidate for Sci-Evo extraction if paper contains explicit design/experiment/optimization loop.
https://openalex.org/W4411020279,https://doi.org/10.1371/journal.pone.0324566,Benchmarking inverse folding models for antibody CDR sequence design,2025,PLoS ONE,True,gold,cc-by,https://doi.org/10.1371/journal.pone.0324566,,3,artificial intelligence protein engineering antibodies,Candidate for Sci-Evo extraction if paper contains explicit design/experiment/optimization loop.
https://openalex.org/W4400313991,https://doi.org/10.1126/science.adk8946,Unsupervised evolution of protein and antibody complexes with a structure-informed language model,2024,Science,True,green,,https://doi.org/10.1126/science.adk8946,https://pmc.ncbi.nlm.nih.gov/articles/PMC11616794/pdf/nihms-2034687.pdf,3,protein language model functional protein sequences,Candidate for Sci-Evo extraction if paper contains explicit design/experiment/optimization loop.
https://openalex.org/W4386523889,https://doi.org/10.1021/acscatal.3c02746,Building Enzymes through Design and Evolution,2023,ACS Catalysis,True,hybrid,cc-by,https://doi.org/10.1021/acscatal.3c02746,,3,de novo protein design enzyme engineering,Candidate for Sci-Evo extraction if paper contains explicit design/experiment/optimization loop.
https://openalex.org/W4318071656,https://doi.org/10.1038/s41587-022-01618-2,Large language models generate functional protein sequences across diverse families,2023,Nature Biotechnology,True,green,,https://doi.org/10.1038/s41587-022-01618-2,https://escholarship.org/content/qt47n389b8/qt47n389b8.pdf,3,de novo protein design enzyme engineering,Candidate for Sci-Evo extraction if paper contains explicit design/experiment/optimization loop.
https://openalex.org/W4288432581,https://doi.org/10.1073/pnas.2207904119,Natural Evolution Provides Strong Hints about Laboratory Evolution of Designer Enzymes,2022,Proceedings of the National Academy of Sciences,True,green,cc-by-nc-nd,https://doi.org/10.1073/pnas.2207904119,,3,directed evolution enzyme design,Candidate for Sci-Evo extraction if paper contains explicit design/experiment/optimization loop.
https://openalex.org/W4308834893,https://doi.org/10.1093/nar/gkac1000,The STRING database in 2023: protein–protein association networks and functional enrichment analyses for any sequenced genome of interest,2022,Nucleic Acids Research,True,gold,cc-by,https://doi.org/10.1093/nar/gkac1000,https://academic.oup.com/nar/article-pdf/51/D1/D638/48440966/gkac1000.pdf,3,protein language model functional protein sequences,Candidate for Sci-Evo extraction if paper contains explicit design/experiment/optimization loop.
https://openalex.org/W3194166942,https://doi.org/10.1038/s41557-021-00763-6,Evolution of dynamical networks enhances catalysis in a designer enzyme,2021,Nature Chemistry,True,green,other-oa,https://doi.org/10.1038/s41557-021-00763-6,,3,directed evolution enzyme design,Candidate for Sci-Evo extraction if paper contains explicit design/experiment/optimization loop.
https://openalex.org/W3134915781,https://doi.org/10.1007/s00018-021-03793-y,Design of an improved universal signal peptide based on the α-factor mating secretion signal for enzyme production in yeast,2021,Cellular and Molecular Life Sciences,True,hybrid,cc-by,https://doi.org/10.1007/s00018-021-03793-y,https://link.springer.com/content/pdf/10.1007/s00018-021-03793-y.pdf,3,directed evolution enzyme design,Candidate for Sci-Evo extraction if paper contains explicit design/experiment/optimization loop.
